pond,treatment,doy,fish_id,length,weight,diet_id,broad_taxa,abundance
A,pulsed,244,blg,175,na,naucoridae,benthos,2
E,reference,252,yep,195,94,benthos,benthos,2
E,reference,252,yep,195,94,oligochaete,benthos,3
F,reference,253,blg,189,174,plant material,macrophyte,4
F,reference,253,blg,189,174,cladoceran,zoop,1
F,reference,253,blg,189,174,rotifer,zoop,1
F,reference,253,blg,189,174,chydorus,zoop,1
C,pulsed,246,lmb,380,872,benthos,benthos,1
C,pulsed,246,lmb,380,872,oligochaete,benthos,1
C,pulsed,245,yep,185,78,oligochaete,benthos,11
C,pulsed,245,yep,185,78,chironomid,benthos,1
B,pulsed,246,yep,185,106,juv fish,fish,2
B,pulsed,246,yep,185,106,gammaridae,benthos,1
B,pulsed,246,yep,185,106,chironomid,benthos,1
A,pulsed,244,lmb,375,864,juv fish,fish,2
A,pulsed,244,lmb,375,864,benthos,benthos,8
A,pulsed,244,lmb,375,864,chironomid,benthos,1
A,pulsed,244,lmb,375,864,oligochaete,benthos,1
C,pulsed,246,yep,191,89,benthos,benthos,4
C,pulsed,246,yep,191,89,oligochaete,benthos,1
A,pulsed,244,lmb,375,798,benthos,benthos,1
A,pulsed,244,lmb,375,798,juv fish,fish,1
C,pulsed,245,blg,171,118,plant material,macrophyte,3
C,pulsed,245,blg,171,118,chironomid,benthos,15
C,pulsed,245,blg,171,118,benthos,benthos,1
C,pulsed,245,blg,171,118,keratella,NA,1
C,pulsed,245,blg,171,118,leptodora,zoop,1
C,pulsed,245,blg,171,118,nauplii,zoop,1
B,pulsed,246,blg,179,184,chironomid,benthos,32
B,pulsed,246,blg,179,184,chydorus,zoop,3
B,pulsed,246,blg,179,184,plant material,macrophyte,3
D,reference,247,blg,156,92,chydorus,zoop,1
D,reference,247,blg,156,92,physidae,benthos,1
F,reference,253,yep,208,118,chironomid,benthos,1
F,reference,253,yep,208,118,phantom midge,benthos,1
D,reference,247,yep,231,158,planorbidae,benthos,2
D,reference,247,yep,231,158,benthos,benthos,1
D,reference,247,yep,231,158,chironomid,benthos,2
D,reference,247,yep,231,158,benthos,benthos,3
D,reference,247,blg,171,128,plant material,macrophyte,1
D,reference,247,blg,171,128,chironomid,benthos,1
D,reference,247,blg,171,128,nauplii,zoop,1
D,reference,247,blg,171,128,chydorus,zoop,1
D,reference,247,blg,171,128,ostracods,NA,1
B,pulsed,246,yep,196,106,chironomid,benthos,1
B,pulsed,246,yep,196,106,juv fish,fish,1
B,pulsed,246,yep,196,106,oligochaete,benthos,4
B,pulsed,246,yep,196,106,benthos,benthos,1
D,reference,247,lmb,150,182,benthos,benthos,5
A,pulsed,244,yep,190,na,benthos,benthos,5
A,pulsed,244,yep,190,na,mite,benthos,1
F,reference,156,yep,250,96,ephemenoptera,benthos,1
F,reference,156,yep,250,96,odonata,benthos,1
F,reference,156,yep,250,96,benthos,benthos,7
F,reference,156,yep,250,96,planorbidae,benthos,3
F,reference,156,yep,250,96,corixidae,benthos,2
E,reference,252,blg,187,160,physidae,benthos,1
E,reference,252,blg,187,160,mite,benthos,1
E,reference,252,blg,187,160,chironomid,benthos,2
B,pulsed,246,blg,185,168,plant material,macrophyte,1
B,pulsed,246,blg,185,168,ostracods,NA,1
B,pulsed,246,blg,185,168,planorbidae,benthos,1
B,pulsed,246,blg,185,168,physidae,benthos,3
B,pulsed,246,blg,185,168,caddisfly,benthos,3
B,pulsed,246,blg,185,168,asplanchna,zoop,1
E,reference,252,lmb,322,982,planorbidae,benthos,2
E,reference,252,lmb,322,982,plant material,macrophyte,1
E,reference,252,lmb,322,982,oligochaete,benthos,1
E,reference,252,lmb,322,982,frog eggs + tracts,frog,1
E,reference,252,lmb,322,982,fish digestive tracts - likely juv fish or FHM,fish,1
E,reference,252,lmb,322,982,benthos,benthos,1
E,reference,252,yep,206,110,juv fish,fish,1
E,reference,252,yep,206,110,fathead,fish,1
E,reference,252,yep,206,110,benthos,benthos,5
E,reference,252,yep,206,110,oligochaete,benthos,1
E,reference,252,blg,168,106,plant material,macrophyte,3
E,reference,252,blg,168,106,filamentous algae,phytoplankton,1
E,reference,252,blg,168,106,benthos,benthos,3
E,reference,252,blg,168,106,pompholyx,zoop,1
B,pulsed,246,blg,175,117,frog eggs + tracts,frog,2
B,pulsed,246,blg,175,117,planorbidae,benthos,4
B,pulsed,246,blg,175,117,benthos,benthos,1
B,pulsed,246,blg,175,117,rotifer,zoop,2
B,pulsed,246,blg,175,117,ostracods,NA,1
B,pulsed,246,blg,175,117,brachionus,zoop,1
F,reference,253,blg,189,170,phantom midge,benthos,12
F,reference,253,blg,189,170,calanoid,zoop,1
F,reference,253,blg,189,170,plant material,macrophyte,2
F,reference,253,blg,189,170,asplanchna,zoop,1
A,pulsed,244,yep,175,na,plant material,macrophyte,1
A,pulsed,244,yep,175,na,corixidae,benthos,1
A,pulsed,244,yep,175,na,oligochaete,benthos,1
E,reference,252,blg,186,182,benthos,benthos,5
E,reference,252,blg,186,182,chironomid,benthos,2
E,reference,252,blg,186,182,corixidae,benthos,1
E,reference,252,blg,186,182,planorbidae,benthos,1
E,reference,252,blg,186,182,plant material,macrophyte,2
E,reference,252,blg,186,182,chydorus,zoop,1
E,reference,252,blg,186,182,ostracods,NA,1
F,reference,156,yep,230,40,benthos,benthos,6
F,reference,156,yep,230,40,caddisfly,benthos,3
F,reference,156,yep,230,40,insect heads,benthos,1
F,reference,156,yep,230,40,oligochaete,benthos,2
A,pulsed,244,yep,192,na,juv fish spine,fish,1
A,pulsed,244,yep,192,na,flying insect,benthos,1
A,pulsed,244,yep,176,na,juv fish,fish,2
A,pulsed,244,yep,176,na,benthos,benthos,1
A,pulsed,244,yep,176,na,oligochaete,benthos,1
E,reference,252,yep,210,96,juv fish or fathead,zoop,3
E,reference,252,yep,210,96,planorbidae,benthos,2
E,reference,252,yep,210,96,plant material,macrophyte,1
E,reference,252,yep,210,96,benthos,benthos,1
A,pulsed,244,blg,170,na,frog eggs + tracts,frog,3
A,pulsed,244,blg,170,na,chironomid,benthos,5
A,pulsed,244,blg,170,na,planorbidae,benthos,2
A,pulsed,244,blg,170,na,physidae,benthos,3
F,reference,253,blg,165,102,phantom midge,benthos,1
A,pulsed,244,blg,170,104,chironomid,benthos,4
A,pulsed,244,blg,170,104,frog eggs + tracts,frog,3
A,pulsed,244,blg,170,104,plant material,macrophyte,1
A,pulsed,244,blg,170,104,rotifer,zoop,1
E,reference,252,blg,180,144,ephemenoptera,benthos,1
E,reference,252,blg,180,144,corixidae,benthos,1
E,reference,252,blg,180,144,worm,benthos,2
E,reference,252,blg,180,144,physidae,benthos,2
E,reference,252,blg,180,144,plant material,macrophyte,2
E,reference,252,blg,180,144,benthos,benthos,2
E,reference,252,blg,180,144,cladoceran,zoop,1
B,pulsed,246,yep,173,78,juv fish,fish,8
B,pulsed,246,yep,173,78,oligochaete,benthos,4
B,pulsed,246,yep,173,78,plant material,macrophyte,3
B,pulsed,246,yep,173,78,hirudinea,benthos,1
B,pulsed,246,yep,173,78,nemotoda,benthos,1
B,pulsed,246,yep,196,106,plant material,macrophyte,1
B,pulsed,246,yep,194,92,spider,benthos,1
B,pulsed,246,yep,194,92,plant material,macrophyte,2
B,pulsed,246,yep,194,92,hirudinea,benthos,1
F,reference,253,blg,181,140,worm,benthos,1
F,reference,253,blg,181,140,plant material,macrophyte,1
C,pulsed,246,blg,172,146,physidae,benthos,6
C,pulsed,246,blg,172,146,chironomid,benthos,5
