pond_id,treatment,period,doy,temp,do_sat,do,ph,chla_rfu,chla,cond,sp_cond,phyco_rfu,phyco,salinity,cyanofluor_chl,tp,tp_flag,srp,srp_flag,tn,tn_flag,nox,nox_flag,nhx,nhx_flag
A,pulsed,PULSE1,190,26.77350427,48.57692308,3.882307692,16.21,2.045384615,8.361538462,370.3923077,358.2538462,-0.14,-0.202307692,0.17,2779.7,77.05,NA,1,NA,0.694305,NA,0.2578,NA,0.0085,NA
A,pulsed,PULSE1,191,26.83333333,57.24,4.5684,16.21,3.1144,12.5816,370.652,357.984,-0.2276,-0.2584,0.17,2367.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,192,25.21052632,45.08684211,3.706052632,16.25526316,4.649736842,18.64605263,370.3657895,368.8605263,-0.034473684,-0.134736842,0.178157895,4158.1,129.8,NA,1.6,NA,0.27313,NA,0.22823,NA,NA,NA
A,pulsed,PULSE1,193,26.53030303,74.17272727,5.95,16.21363636,1.48,6.131818182,380.9727273,370.1363636,-0.141818182,-0.201818182,0.18,4039.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,194,25.23976608,64.48421053,5.299473684,16.25526316,7.093684211,28.29894737,376.1263158,374.3789474,0.634210526,0.298421053,0.18,3989.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,195,25.37037037,66.38888889,5.442222222,16.25,5.771111111,23.07777778,383.5,380.7888889,0.453333333,0.18,0.18,5745,152.85,NA,4.25,NA,0.58084,NA,0.237585,NA,NA,NA
A,pulsed,PULSE1,196,24.94444444,67.53333333,5.5825,16.26,4.004166667,16.09416667,382.725,383.15,0.421666667,0.16,0.18,8326.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,197,23.88888889,61.63809524,5.193809524,16.3,4.752857143,19.05238095,355.2380952,362.7952381,0.653809524,0.310952381,0.17,12695,144.1,NA,2.2,NA,0.5177,NA,0.119805,NA,0.00845,NA
A,pulsed,PULSE1,198,23.92386831,83.13703704,6.998518519,16.29518519,12.30444444,9.399329277,363.3777778,370.9888889,0.65962963,0.316296296,0.18,2971.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,199,24.91534392,84.46666667,6.981904762,16.2647619,6.409047619,25.58904762,382.2714286,382.852381,0.152380952,-0.011428571,0.18,8143.9,134.35,NA,2.75,NA,0.38733,NA,0.1476,NA,NA,NA
A,pulsed,PULSE1,200,26.21269841,85.34,6.890571429,16.22457143,4.458857143,17.89314286,377.08,368.5742857,0.701142857,0.341428571,0.175714286,4044.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,201,28.08862434,94.85,7.404285714,16.16738095,1.553571429,6.418333333,394.4190476,372.447619,-0.036904762,-0.13452381,0.18,1636.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,202,25.88888889,80.5625,6.545625,16.24,4.566875,18.32375,382.75,376.48125,0.5775,0.26,0.18,9606.2,140.2,NA,4.25,NA,0.860925,NA,0.197735,NA,NA,NA
A,pulsed,PULSE1,203,24.88888889,80.28,6.642,16.27,6.325,25.259,379.24,380.13,1.472,0.84,0.18,11013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,204,26.50816993,81.64705882,6.553235294,16.21411765,2.929117647,11.85294118,395.9647059,384.8352941,0.24,0.043235294,0.18,5303.3,169.75,NA,1.95,NA,0.8262,NA,0.121285,NA,0.02395,NA
A,pulsed,PULSE1,205,24.66666667,74.93529412,6.225882353,16.27,3.100588235,12.52882353,386.3529412,388.9764706,0.325294118,0.1,0.19,4315.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,206,25.26587302,76.02857143,6.243571429,16.25142857,2.26,9.212142857,394.1428571,392.0642857,0.197142857,0.017142857,0.19,3588.9,93.35,NA,0.7,NA,0.77441,NA,0.135805,NA,NA,NA
A,pulsed,PULSE1,207,26.58496732,66.86470588,5.360588235,16.21117647,2.89,11.69882353,403.6823529,391.8058824,0.261764706,0.059411765,0.19,5265.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,208,26.97076023,69.68421053,5.548947368,16.2,2.447894737,9.950526316,406.3052632,391.5736842,0.417894737,0.159473684,0.19,8167.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,209,26.04830918,79.77826087,6.46,16.23,2.828695652,11.45608696,409.0913043,401.0695652,0.299565217,0.08173913,0.19,6492.3,92.85,NA,0.55,NA,0.788245,NA,0.303715,NA,NA,NA
A,pulsed,PULSE1,210,25.5,83.17142857,6.8,16.25,1.647142857,6.784285714,411.1142857,407.1285714,-0.02,-0.122857143,0.19,3317.5,85.7,NA,0.1,b,0.5307,NA,0.036837,NA,NA,NA
A,pulsed,PULSE2,211,26.18209877,81.52222222,6.584444444,16.22944444,1.289444444,5.375555556,422.3388889,413.0166667,-0.101666667,-0.176666667,0.2,2651.1,73,NA,0.085,NA,0.589545,NA,0.171285,NA,0.0078,NA
A,pulsed,PULSE2,212,25.66666667,76.28181818,6.221818182,16.24,1.782727273,7.33,414.8,409.7,-0.106363636,-0.180909091,0.2,3483.1,74.6,NA,0.1,b,0.60616,NA,0.133905,NA,NA,NA
A,pulsed,PULSE2,213,25.30864198,70.58888889,5.793333333,16.25,1.068888889,4.498888889,418.5444444,416.1,-0.165555556,-0.22,0.2,2780.6,70.15,NA,0.1,b,0.22989,NA,0.1144215,NA,NA,NA
A,pulsed,PULSE2,214,25.28362573,66.11052632,5.426842105,16.25210526,1.041052632,4.396842105,425.3947368,423.1,0.008421053,-0.105789474,0.2,3273.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,215,25.58730159,67.01142857,5.47,16.24342857,0.731428571,3.169714286,425.82,421.0857143,-0.034571429,-0.133428571,0.2,4360.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,216,24.12777778,86.92,7.292,16.29,0.971,4.113,419.41,426.51,-0.084,-0.165,0.2,2035.3,68.75,NA,0.05,NA,0.60458,NA,0.1,b,NA,NA
A,pulsed,PULSE2,217,22.34313725,90.59411765,7.858823529,16.35,1.084117647,4.565882353,405.8235294,427.4117647,-0.041176471,-0.138823529,0.206470588,2038.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,218,21.92777778,84.23,7.369,16.36,0.809,3.486,404.41,429.67,-0.226,-0.256,0.21,1610.6,170.35,NA,0.05,NA,0.410685,NA,0.25432,NA,0.0156,NA
A,pulsed,PULSE2,219,21.85990338,81.00434783,7.092608696,16.36,0.28173913,1.396086957,404.473913,430.2434783,-0.323913043,-0.32,0.21,1278.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,220,22.58518519,75.44666667,6.512666667,16.33866667,1.263333333,5.270666667,411.56,431.4066667,-0.224,-0.254666667,0.21,3298.5,64.8,NA,0.1,b,0.27916,NA,0.163465,NA,NA,NA
A,pulsed,PULSE2,221,24.05938697,79.12068966,6.642758621,16.29103448,1.986206897,8.130689655,424.2896552,432.0241379,0.14862069,-0.015172414,0.21,6354.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,222,24.69753086,76.82222222,6.376666667,16.27,0.372222222,1.752222222,426.0888889,428.5444444,-0.092777778,-0.171666667,0.2,2834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,223,25.15451389,85.19375,7.013125,16.26,1.5625,6.4515625,431.546875,430.34375,-0.23625,-0.2640625,0.21,2085.7,59.1,NA,0.65,NA,0.709385,NA,0.214525,NA,NA,NA
A,pulsed,PULSE2,224,22.4,64.16,5.56,16.34,2.2745,9.267,398.605,419.42,0.1115,-0.038,0.2,5068.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,225,22.88888889,79.868,6.8584,16.33,1.846,7.5744,402.552,419.476,-0.0492,-0.1424,0.2,3215.7,59,NA,1.15,NA,0.289985,NA,0.243175,NA,0.02765,NA
A,pulsed,PULSE2,226,24.27777778,81.75789474,6.837368421,16.28421053,2.041052632,8.338947368,417.4789474,423.2684211,0.193684211,0.014210526,0.2,2674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,227,24.49616858,89.48275862,7.454827586,16.28,2.987586207,12.08275862,416.3827586,420.4241379,0.16,-0.006206897,0.2,4923.5,77.55,NA,0.1,b,0.485965,NA,0.244415,NA,NA,NA
A,pulsed,PULSE2,228,24.92222222,97.39,8.049,16.264,3.066,12.387,415.59,416.19,-0.136,-0.2,0.2,2373.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,229,23.91358025,70.3,5.921666667,16.3,2.460555556,10.00388889,409.1333333,417.7888889,0.383888889,0.136666667,0.2,17448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,230,23.77777778,72.07307692,6.086923077,16.3,2.151538462,8.783076923,410.9692308,420.8807692,0.186923077,0.01,0.2,7040.7,41.85,NA,0.1,b,0.360845,NA,0.13362,NA,NA,NA
A,pulsed,PULSE2,231,23.05938697,77.30689655,6.615862069,16.32,1.858275862,7.621724138,408.0275862,423.6689655,0.057931034,-0.072758621,0.2,4054.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,232,24.02777778,84.42727273,7.0945454549999996,16.29045455,3.881818182,15.61409091,417.65,425.5681818,0.335,0.104545455,0.2,3002.4,39.8,NA,0.1,b,0.3475,NA,0.2578,NA,0.00685,NA
A,pulsed,PULSE2,233,22.72962963,79.06,6.809,16.33,2.222666667,9.058666667,404.27,422.55,0.093333333,-0.049666667,0.2,4713.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,234,23.17283951,75.65,6.460555556,16.32,0.550555556,2.455,408.8666667,423.6777778,-0.352222222,-0.337222222,0.2,2037.2,39.45,NA,0.1,b,0.400545,NA,0.221005,NA,NA,NA
A,pulsed,PULSE2,235,23.52339181,72.28947368,6.132105263,16.31,1.587894737,6.554210526,409.6473684,421.5263158,0.267368421,0.061052632,0.2,6482.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,236,23.10401891,62.98297872,5.385744681,16.32,1.069148936,4.507659574,406.2255319,421.5085106,-0.026170213,-0.127446809,0.2,10501.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,237,24.11111111,80.16,6.726571429,16.29,1.574,6.498857143,415.6657143,422.7742857,-0.092285714,-0.171142857,0.2,2693.1,55.65,NA,0.1,b,0.51158,NA,0.086345,NA,NA,NA
A,pulsed,PULSE2,238,24.6352657,81.66956522,6.78826087,16.27,1.857826087,7.622173913,418.9695652,421.9304348,0.015652174,-0.1,0.2,7067.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE2,239,24.66,80.812,6.714,16.27,2.0288,8.2952,421.484,424.34,0.0852,-0.0552,0.2,3240.4,47.5,NA,0.1,b,0.51901,NA,0.1154295,NA,0.00535,NA
A,pulsed,PULSE2,240,25.0308642,83.84166667,6.917222222,16.26,2.677777778,10.86,426.6444444,426.4527778,0.233611111,0.039444444,0.2,3324.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,142,17.05555556,138.8333333,13.385,8.96,1.921666667,6.895833333,266.2916667,313.7,0.105833333,0.2975,0.15,2599.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,143,16.54814815,135.7266667,13.23466667,9.27,2.128666667,7.648,260.3666667,310.6,0.277333333,0.395333333,0.15,2354.2,44.9,NA,0.1,b,0.068132,NA,0.1,b,NA,NA
B,pulsed,BASE,144,18.05555556,151.91875,14.350625,9.62,2.06125,7.403125,261.43125,301.30625,0.275,0.394375,0.14,3773.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,145,18.94444444,163.2833333,15.14625,9.47,2.027916667,7.27875,260.625,294.5958333,0.102083333,0.292916667,0.14,3336.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,146,21.50292398,154.3947368,13.61684211,9.2,1.128421053,4.74,270.4315789,289.7736842,0.115789474,-0.035789474,0.14,743.64,44.5,NA,0.1,b,0.45378,NA,0.0308735,NA,NA,NA
B,pulsed,BASE,147,21.87301587,130.9928571,11.47285714,9.09,1.45,6.009285714,257.8285714,274.2,0.005,-0.107142857,0.13,2955.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,148,22.33333333,131.92,11.45433333,9.01,2.091666667,8.544,257.8466667,271.7033333,0.118666667,-0.032333333,0.13,3285.2,51.5,NA,0.3,NA,0.218,NA,0.0807238,NA,0.0482,NA
B,pulsed,BASE,149,23.05555556,119.428125,10.2221875,8.87,2.30625,9.3928125,255.209375,264.915625,0.1540625,-0.0109375,0.13,3846.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,150,21.72222222,127.1315789,11.17210526,8.92,1.064736842,4.486315789,249.8052632,266.5473684,0.007894737,-0.103684211,0.13,1483.4,35.35,NA,0.1,b,0.184895,NA,0.085191,NA,NA,NA
B,pulsed,BASE,151,NA,NA,NA,NA,NA,2.788318873,NA,NA,NA,NA,NA,819.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,152,22.25641026,134.3,11.67730769,9.03,1.188461538,4.976153846,255.8076923,269.95,-0.032692308,-0.13,0.13,1286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,153,21.42777778,126.48,11.175,9.04,1.294,5.389,252.4,270.93,-0.161,-0.219,0.13,1265.1,34.3,NA,0.1,b,0.304,NA,0.0357605,NA,NA,NA
B,pulsed,BASE,154,23.16666667,122.3814815,10.45777778,8.72,0.638888889,2.805185185,264.7333333,274.337037,-0.120740741,-0.188518519,0.13,695.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,155,25.50740741,116.2533333,9.511333333,9.01,0.384,1.795666667,276.9833333,274.33,-0.223333333,-0.256,0.13,1137.6,48.75,NA,0.1,b,0.25356,NA,0.052263,NA,0.0552,NA
B,pulsed,BASE,156,26.52951389,109.809375,8.81875,8.74,0.390625,1.8253125,283.4875,275.475,-0.1728125,-0.223125,0.13,701.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,157,27.32491582,106.3212121,8.414848485,8.868181818,0.185454545,1.014848485,288.4818182,276.1757576,-0.31030303,-0.310606061,0.13,322.77,34.85,NA,0.1,b,0.419075,NA,0.142006,NA,NA,NA
B,pulsed,BASE,158,26.94444444,110.46875,8.80625,8.83,0.1903125,1.0378125,290.7,280.3,-0.3034375,-0.3084375,0.13,491.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,159,26.05555556,101.44,8.2144,9.13,0.1876,1.0276,289.964,284.148,-0.2656,-0.2804,0.13,553.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,160,26.45495495,111.3378378,8.952432432,9.037432432,0.225,1.171756757,291.5391892,283.65,-0.207837838,-0.245675676,0.13,353.13,29.75,NA,0.1,b,0.227695,NA,0.124625,NA,NA,NA
B,pulsed,BASE,161,26.25277778,98.5025,7.95,8.88,0.28775,1.4195,291.6175,284.8225,-0.21475,-0.25025,0.13,555.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,162,23.66666667,68.95,5.8355,8.53,0.415,1.92275,281.7175,289.015,-0.19175,-0.2345,0.14,813.01,32.55,NA,0.1,b,0.318785,NA,0.125505,NA,0.0598,NA
B,pulsed,BASE,163,22.6328976,76.2,6.57745098,8.69,0.373529412,1.758823529,276.7921569,289.9078431,-0.174117647,-0.223333333,0.14,562.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,164,23.25356125,95.14358974,8.115897436,10.07,0.457948718,2.091025641,281.1102564,290.7948718,-0.110512821,-0.181794872,0.14,719.67,52.95,NA,0.1,b,0.43178,NA,0.136645,NA,NA,NA
B,pulsed,BASE,165,24.16666667,115.6571429,9.7,8.98,0.339285714,1.626071429,280.4107143,284.9678571,-0.357142857,-0.3425,0.13,782.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,pulsed,BASE,166,23.16666667,113.6315789,9.710526316,8.78,0.363157895,1.717368421,276.1,286.1263158,-0.218947368,-0.253684211,0.14,576.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
