sampleid,pond_id,doy,treatment,period,taxa,order_class,gear,density
E20B170HS,B,170,pulsed,prepulse,chironomidae,diptera,HS,422.5352113
E20B170HS,B,170,pulsed,prepulse,ephemeroptera,ephemeroptera,HS,28.16901408
E20B170HS,B,170,pulsed,prepulse,planorbidae,hygrophila,HS,1253.521127
E20B170HS,B,170,pulsed,prepulse,physidae,hygrophila,HS,873.2394366
E20B170HS,B,170,pulsed,prepulse,oligochaeta,oligochaeta,HS,98.5915493
E20B184HS,B,184,pulsed,postpulse1,planorbidae,hygrophila,HS,98.5915493
E20B184HS,B,184,pulsed,postpulse1,physidae,hygrophila,HS,225.3521127
E20B184HS,B,184,pulsed,postpulse1,oligochaeta,oligochaeta,HS,28.16901408
E20B198HS,B,198,pulsed,postpulse1,haliplidae,coleoptera,HS,14.08450704
E20B198HS,B,198,pulsed,postpulse1,chironomidae,diptera,HS,112.6760563
E20B198HS,B,198,pulsed,postpulse1,gomphidae,odonata,HS,14.08450704
E20B198HS,B,198,pulsed,postpulse1,gammaridae,amphipoda,HS,14.08450704
E20B198HS,B,198,pulsed,postpulse1,planorbidae,hygrophila,HS,859.1549296
E20B198HS,B,198,pulsed,postpulse1,physidae,hygrophila,HS,647.8873239
E20B198HS,B,198,pulsed,postpulse1,belostomatidae,hemiptera,HS,14.08450704
E20B198HS,B,198,pulsed,postpulse1,oligochaeta,oligochaeta,HS,84.50704225
E20B213HS,B,213,pulsed,postpulse2,chironomidae,diptera,HS,14.08450704
E20B213HS,B,213,pulsed,postpulse2,coeloptera,coeloptera,HS,56.33802817
E20B213HS,B,213,pulsed,postpulse2,hydrobiidae,littorinimorpha,HS,14.08450704
E20B213HS,B,213,pulsed,postpulse2,planorbidae,hygrophila,HS,676.056338
E20B213HS,B,213,pulsed,postpulse2,physidae,hygrophila,HS,281.6901408
E20C154HS,C,154,pulsed,prepulse,chironomidae,diptera,HS,295.7746479
E20C154HS,C,154,pulsed,prepulse,odonata_dragonfly,odonata,HS,14.08450704
E20C154HS,C,154,pulsed,prepulse,odonata,odonata,HS,28.16901408
E20C154HS,C,154,pulsed,prepulse,ephemeroptera,ephemeroptera,HS,14.08450704
E20C154HS,C,154,pulsed,prepulse,amphipoda,amphipoda,HS,14.08450704
E20C154HS,C,154,pulsed,prepulse,planorbidae,hygrophila,HS,760.5633803
E20C154HS,C,154,pulsed,prepulse,hydrobiidae,littorinimorpha,HS,56.33802817
E20C154HS,C,154,pulsed,prepulse,physidae,hygrophila,HS,422.5352113
E20C154HS,C,154,pulsed,prepulse,pleidae,hemiptera,HS,14.08450704
E20C154HS,C,154,pulsed,prepulse,oligochaeta,oligochaeta,HS,28.16901408
E20C154HS,C,154,pulsed,prepulse,oligochaeta,oligochaeta,HS,14.08450704
E20C170HS,C,170,pulsed,prepulse,hydropohilidae,coleoptera,HS,28.16901408
E20C170HS,C,170,pulsed,prepulse,trichoptera,trichoptera,HS,28.16901408
E20C170HS,C,170,pulsed,prepulse,chironomidae,diptera,HS,98.5915493
E20C170HS,C,170,pulsed,prepulse,amphipoda,amphipoda,HS,70.42253521
E20C170HS,C,170,pulsed,prepulse,planorbidae,hygrophila,HS,2014.084507
E20C170HS,C,170,pulsed,prepulse,physidae,hygrophila,HS,1943.661972
E20C184HS,C,184,pulsed,postpulse1,amphipoda,amphipoda,HS,70.42253521
E20C184HS,C,184,pulsed,postpulse1,planorbidae,hygrophila,HS,98.5915493
E20C184HS,C,184,pulsed,postpulse1,physidae,hygrophila,HS,197.1830986
E20C184HS,C,184,pulsed,postpulse1,pleidae,hemiptera,HS,14.08450704
E20C198HS,C,198,pulsed,postpulse1,chironomidae,diptera,HS,70.42253521
E20C198HS,C,198,pulsed,postpulse1,coeloptera,coeloptera,HS,14.08450704
E20C198HS,C,198,pulsed,postpulse1,planorbidae,hygrophila,HS,1253.521127
E20C198HS,C,198,pulsed,postpulse1,physidae,hygrophila,HS,1084.507042
E20C213HS,C,213,pulsed,postpulse2,planorbidae,hygrophila,HS,2000
E20C213HS,C,213,pulsed,postpulse2,physidae,hygrophila,HS,1760.56338
E20C213HS,C,213,pulsed,postpulse2,lymnaeidae,hygrophila,HS,42.25352113
E20D154HS,D,154,reference,prepulse,chironomidae,diptera,HS,70.42253521
E20D154HS,D,154,reference,prepulse,planorbidae,hygrophila,HS,633.8028169
E20D154HS,D,154,reference,prepulse,physidae,hygrophila,HS,309.8591549
E20D154HS,D,154,reference,prepulse,lymnaeidae,hygrophila,HS,56.33802817
E20D154HS,D,154,reference,prepulse,pleidae,hemiptera,HS,14.08450704
E20D154HS,D,154,reference,prepulse,gyrinidae,coleoptera,HS,14.08450704
E20D170HS,D,170,reference,prepulse,chironomidae,diptera,HS,56.33802817
E20D170HS,D,170,reference,prepulse,planorbidae,hygrophila,HS,915.4929577
E20D170HS,D,170,reference,prepulse,physidae,hygrophila,HS,1464.788732
E20D184HS,D,184,reference,postpulse1,trichoptera,trichoptera,HS,56.33802817
E20D184HS,D,184,reference,postpulse1,diptera,diptera,HS,28.16901408
E20D184HS,D,184,reference,postpulse1,coeloptera,coeloptera,HS,70.42253521
E20D184HS,D,184,reference,postpulse1,planorbidae,hygrophila,HS,4901.408451
E20D184HS,D,184,reference,postpulse1,physidae,hygrophila,HS,2718.309859
E20D184HS,D,184,reference,postpulse1,hydrobiidae,littorinimorpha,HS,70.42253521
E20D198HS,D,198,reference,postpulse1,chironomidae,diptera,HS,14.08450704
E20D198HS,D,198,reference,postpulse1,hirudinea,hirudinea,HS,28.16901408
E20D198HS,D,198,reference,postpulse1,planorbidae,hygrophila,HS,1704.225352
E20D198HS,D,198,reference,postpulse1,physidae,hygrophila,HS,1352.112676
E20D198HS,D,198,reference,postpulse1,lymnaeidae,hygrophila,HS,28.16901408
E20D198HS,D,198,reference,postpulse1,belostomatidae,hemiptera,HS,14.08450704
E20D213HS,D,213,reference,postpulse2,hydropohilidae,coleoptera,HS,56.33802817
E20D213HS,D,213,reference,postpulse2,chironomidae,diptera,HS,28.16901408
E20D213HS,D,213,reference,postpulse2,odonata,odonata,HS,42.25352113
E20D213HS,D,213,reference,postpulse2,planorbidae,hygrophila,HS,154.9295775
E20D213HS,D,213,reference,postpulse2,physidae,hygrophila,HS,169.0140845
E20D213HS,D,213,reference,postpulse2,lymnaeidae,hygrophila,HS,42.25352113
E20D213HS,D,213,reference,postpulse2,oligochaeta,oligochaeta,HS,14.08450704
E20E154HS,E,154,reference,prepulse,chironomidae,diptera,HS,56.33802817
E20E154HS,E,154,reference,prepulse,coenagrionidae,odonata,HS,28.16901408
E20E154HS,E,154,reference,prepulse,amphipoda,amphipoda,HS,42.25352113
E20E154HS,E,154,reference,prepulse,planorbidae,hygrophila,HS,619.7183099
E20E154HS,E,154,reference,prepulse,physidae,hygrophila,HS,1154.929577
E20E154HS,E,154,reference,prepulse,hydrobiidae,littorinimorpha,HS,225.3521127
E20E154HS,E,154,reference,prepulse,corixidae,hemiptera,HS,70.42253521
E20E154HS,E,154,reference,prepulse,gerridae,hemiptera,HS,14.08450704
E20E154HS,E,154,reference,prepulse,oligochaeta,oligochaeta,HS,70.42253521
E20E170HS,E,170,reference,prepulse,chironomidae,diptera,HS,28.16901408
E20E170HS,E,170,reference,prepulse,planorbidae,hygrophila,HS,1014.084507
E20E170HS,E,170,reference,prepulse,physidae,hygrophila,HS,366.1971831
E20E170HS,E,170,reference,prepulse,lymnaeidae,hygrophila,HS,3352.112676
E20E184HS,E,184,reference,postpulse1,chironomidae,diptera,HS,28.16901408
E20E184HS,E,184,reference,postpulse1,odonata_dragonfly,odonata,HS,28.16901408
E20E184HS,E,184,reference,postpulse1,hirudinea,hirudinea,HS,28.16901408
E20E184HS,E,184,reference,postpulse1,baetidae,ephemeroptera,HS,28.16901408
E20E184HS,E,184,reference,postpulse1,physidae,hygrophila,HS,605.6338028
E20E184HS,E,184,reference,postpulse1,planorbidae,hygrophila,HS,563.3802817
E20E184HS,E,184,reference,postpulse1,lymnaeidae,hygrophila,HS,549.2957746
E20E198HS,E,198,reference,postpulse1,chironomidae,diptera,HS,56.33802817
E20E198HS,E,198,reference,postpulse1,odonata_damselfly,odonata,HS,14.08450704
E20E198HS,E,198,reference,postpulse1,hydrobiidae,littorinimorpha,HS,535.2112676
E20E198HS,E,198,reference,postpulse1,physidae,hygrophila,HS,690.1408451
E20E198HS,E,198,reference,postpulse1,planorbidae,hygrophila,HS,633.8028169
E20E213HS,E,213,reference,postpulse2,dytiscidae,coleoptera,HS,42.25352113
E20E213HS,E,213,reference,postpulse2,chironomidae,diptera,HS,28.16901408
E20E213HS,E,213,reference,postpulse2,odonata,odonata,HS,84.50704225
E20E213HS,E,213,reference,postpulse2,planorbidae,hygrophila,HS,676.056338
E20E213HS,E,213,reference,postpulse2,lymnaeidae,hygrophila,HS,577.4647887
E20E213HS,E,213,reference,postpulse2,physidae,hygrophila,HS,450.7042254
E20E213HS,E,213,reference,postpulse2,pleidae,hemiptera,HS,14.08450704
E20F154HS,F,154,reference,prepulse,hydropohilidae,coleoptera,HS,56.33802817
E20F154HS,F,154,reference,prepulse,planorbidae,hygrophila,HS,154.9295775
E20F154HS,F,154,reference,prepulse,physidae,hygrophila,HS,169.0140845
E20F154HS,F,154,reference,prepulse,corixidae,hemiptera,HS,14.08450704
E20F154HS,F,154,reference,prepulse,oligochaeta,oligochaeta,HS,14.08450704
E20F170HS,F,170,reference,prepulse,chironomidae,diptera,HS,239.4366197
E20F170HS,F,170,reference,prepulse,planorbidae,hygrophila,HS,309.8591549
E20F170HS,F,170,reference,prepulse,physidae,hygrophila,HS,253.5211268
E20F170HS,F,170,reference,prepulse,hydrobiidae,littorinimorpha,HS,14.08450704
E20F170HS,F,170,reference,prepulse,lymnaeidae,hygrophila,HS,28.16901408
E20F184HS,F,184,reference,postpulse1,chironomidae,diptera,HS,28.16901408
E20F184HS,F,184,reference,postpulse1,odonata_damselfly,odonata,HS,14.08450704
E20F184HS,F,184,reference,postpulse1,hirudinea,hirudinea,HS,14.08450704
E20F184HS,F,184,reference,postpulse1,planorbidae,hygrophila,HS,521.1267606
E20F184HS,F,184,reference,postpulse1,physidae,hygrophila,HS,225.3521127
E20F184HS,F,184,reference,postpulse1,lymnaeidae,hygrophila,HS,197.1830986
E20F184HS,F,184,reference,postpulse1,corixidae,hemiptera,HS,14.08450704
E20F198HS,F,198,reference,postpulse1,coleoptera,coleoptera,HS,14.08450704
E20F198HS,F,198,reference,postpulse1,chironomidae,diptera,HS,14.08450704
E20F198HS,F,198,reference,postpulse1,amphipoda,amphipoda,HS,14.08450704
E20F198HS,F,198,reference,postpulse1,planorbidae,hygrophila,HS,450.7042254
E20F198HS,F,198,reference,postpulse1,physidae,hygrophila,HS,70.42253521
E20F198HS,F,198,reference,postpulse1,lymnaeidae,hygrophila,HS,169.0140845
E20F198HS,F,198,reference,postpulse1,stratiomyidae,diptera,HS,14.08450704
E20F198HS,F,198,reference,postpulse1,notonectidae,hemiptera,HS,14.08450704
E20F213HS,F,213,reference,postpulse2,chironomidae,diptera,HS,70.42253521
E20F213HS,F,213,reference,postpulse2,baetidae,ephemeroptera,HS,14.08450704
E20F213HS,F,213,reference,postpulse2,amphipoda,amphipoda,HS,42.25352113
E20F213HS,F,213,reference,postpulse2,hydrobiidae,littorinimorpha,HS,28.16901408
E20F213HS,F,213,reference,postpulse2,physidae,hygrophila,HS,380.2816901
E20F213HS,F,213,reference,postpulse2,planorbidae,hygrophila,HS,661.971831
